englishTitle;title;actionType;type;level;traits;traditions;castTime;muse;trigger;range;objectives;area;defense;duration;description;heightenings
SUMMON INSTRUMENT;CONVOCAR INSTRUMENTO;three-actions;TRUCO;1;CONCENTRAR MANIPULAR TRUCO;arcana, divina, ocultista;;;;;;;;1 hora;Materializas en tu mano un instrumento musical de mano. El instrumento es normal para su tipo, pero sólo toca para ti. Desaparece cuando se acaba el conjuro. Si lanzas de nuevo convocar instrumento, cualquier instrumento convocado previamente desaparece.;Potenciado (5.º) El instrumento es en su lugar un instrumento de mano de virtuoso.
SUMMON MONITOR;CONVOCAR MONITOR;three-actions;CONJURO;5;CONCENTRAR CONVOCAR MANIPULAR;divina;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo monitor y cuyo nivel es 5 o menor para que luche por ti. El DJ podría determinar que tu dios restringe los tipos específicos de monitores a los que puedes convocar en determinados casos. Por ejemplo, Urgathoa no suele permitir a sus seguidores que convoquen psicopompos.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON UNDEAD;CONVOCAR MUERTO VIVIENTE;three-actions;CONJURO;1;CONCENTRAR CONVOCAR MANIPULAR;arcana, divina, ocultista;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo muerto viviente cuyo nivel es -1 para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON PLANT OR FUNGUS;CONVOCAR PLANTA U HONGO;three-actions;CONJURO;1;CONCENTRAR CONVOCAR MANIPULAR;primigenia;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo hongo y cuyo nivel es -1 para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
SUMMON ENTITY;CONVOCAR SER;three-actions;CONJURO;5;CONCENTRAR CONVOCAR MANIPULAR;ocultista;;;;30 pies (9 m);;;;mantenido hasta 1 minuto;Convocas a una criatura con el rasgo aberración y cuyo nivel es 5 o menor para que luche por ti.;Potenciado Como se indica en el rasgo convocar (pág. 325).
PRIMAL SUMMONS;CONVOCATORIA PRIMIGENIA;free-action;FOCO;6;POCO-COMÚN CONCENTRAR DRUIDA FOCO;;;;;;;;;;"Potencias a una criatura convocada con el poder de los elementos.
Si tu siguiente acción es lanzar convocar animal o convocar planta u hongo, elige entre agua, aire, fuego, madera, metal o tierra; la criatura que convocas obtiene las aptitudes correspondientes.
• Agua La criatura obtiene una Velocidad de nado de 60 pies (18 m), puede invertir 1 acción tras un ataque cuerpo a cuerpo para tratar de Empujar (ignorando el penalizador por ataque múltiple) y obtiene resistencia 5 al fuego.
• Aire La criatura obtiene una Velocidad de vuelo de 60 pies (18 m).
• Fuego Los Golpes de la criatura infligen 1d6 daño adicional por fuego y obtiene resistencia 10 al fuego y debilidad 5 al frío y al agua.
• Madera La criatura obtiene una Velocidad de trepar de 30 pies (9 m) y resistencia 2 al daño contundente y perforante.
• Metal Los Golpes de la criatura infligen 1d6 daño adicional por electricidad y obtiene la existencia 5 a la electricidad.
• Tierra La criatura obtiene una Velocidad de excavar de 20 pies (6 m), reduce en 10 pies (3 m) su Velocidad terrestre (mínimo 5 pies [1,5 m]) y obtiene resistencia 5 al daño físico.";
CORNUCOPIA;CORNUCOPIA;two-actions;FOCO;1;POCO-COMÚN CONCENTRAR DRUIDA FOCO CURACIÓN MANIPULAR PLANTA;;;;;;;;;10 minutos;"VITALIDAD
Unos zarcillos se enredan en forma de cuerno de mimbre en tus manos, y de allí surge un solo fruto, nuez o pequeño producto similar. Una criatura que consume el producto mediante una acción de Interactuar recupera 1d6+4 PG. La cornucopia, así como cualquier pieza no consumida de fruta, se marchita al final de la duración del conjuro.
Una criatura puede consumir cualquier cantidad de comida del mismo lanzamiento con una sola acción de Interactuar. Comerse 6 piezas de producto de la cornucopia proporciona el mismo alimento que una comida completa para un humano típico.";Potenciado (+1) La cornucopia produce una pieza adicional de comida.
CREATION;CREACIÓN;;CONJURO;4;CONCENTRAR MANIPULAR;arcana, primigenia;1 minuto;;;0 pies;;;;1 hora;Conjuras un objeto temporal a partir de energía mágica. Tiene que consistir en materia derivada de la tierra o de las plantas (como por ejemplo madera, papel, ladrillo o piedra) y tener hasta 5 pies cúbicos (0,14 m3) o menos. No puede estar basado en una habilidad artística delicada o partes móviles complejas, nunca satisface un coste o algo por el estilo, y no puede estar hecho de materiales preciosos o materiales de una rareza POCO-COMÚN o mayor. Es obvio que ha sido conjurado temporalmente y por lo tanto no puede ser vendido ni hacerlo pasar por un objeto genuino. El conjuro obtiene el rasgo apropiado para el objeto creado, típicamente madera, planta o tierra.;Potenciado (5.º) El objeto es de metal y puede incluir minerales comunes como feldespato o cuarzo. El conjuro obtiene el rasgo metal si se utiliza para crear un objeto metálico.
CREATE WATER;CREAR AGUA;two-actions;CONJURO;1;AGUA CONCENTRAR MANIPULAR;arcana, divina, primigenia;;;;0 pies;;;;;"Juntas las manos en forma de cuenco y de ellas empieza a fluir el agua.
Creas 2 galones (8 l) de agua. Si nadie se la bebe, se evapora al cabo de 1 día.";
CREATE FOOD;CREAR COMIDA;;CONJURO;2;CONCENTRAR MANIPULAR;arcana, divina, primigenia;1 hora;;;30 pies (9 m);;;;;Creas suficiente comida como para alimentar a 6 criaturas Medianas durante 1 día. Dicha comida es insípida y poco apetitosa, pero nutritiva.;"Al cabo de 1 día, si nadie se la ha comido, se descompone y se vuelve incomestible. La mayoría de criaturas Pequeñas comen la cuarta parte que una criatura Mediana (y la decimosexta parte para la mayoría de criaturas Menudas), y la mayoría de criaturas Grandes comen diez veces más (cien veces más para criaturas Enormes y así sucesivamente) Potenciado (4.º) Puedes alimentar a 12 criaturas Medianas.
Potenciado (6.º) Puedes alimentar a 50 criaturas Medianas.
Potenciado (8.º) Puedes alimentar a 200 criaturas Medianas."
ILLUSORY CREATURE;CRIATURA ILUSORIA;two-actions;CONJURO;2;AUDITIVO CONCENTRAR ILUSIÓN MANIPULAR OLFATIVO VISUAL;arcana, ocultista;;;;500 pies (150 m);;;;mantenido;"Creas una imagen ilusoria de una criatura Grande o más pequeña. Genera los sonidos y olores apropiados, y es creíble incluso al tacto. Si la imagen y tú os llegáis a separar más de 500 pies (150 m), el conjuro se acaba.
La imagen no puede hablar, pero puedes utilizar tus acciones para hablar a través de la criatura, y el conjuro disfraza tu voz de la forma más apropiada. Puedes tener que hacer una prueba de Engaño o de Interpretación para imitar a la criatura, a juicio del DJ. Esto es especialmente probable si quieres imitar a una persona específica e interaccionar con alguien a quien dicha persona conoce.
En combate, la ilusión puede utilizar 2 acciones por turno, que usa cuando Mantienes el conjuro. Utiliza tu modificador al ataque de conjuros para la tirada de ataque y tu CD de conjuros para su CA. Sus modificadores a las tiradas de salvación son iguales a tu CD de conjuros -10. Es lo suficientemente sustancial como para poder flanquear a otras criaturas. Si la imagen sufre un impacto de un ataque o falla una salvación, el conjuro se acaba.
La ilusión puede causar daño haciendo que el objetivo crea que los ataques de ésta son reales, pero no puede afectar directamente al mundo físico de ninguna otra manera. Si la criatura ilusoria acierta con un Golpe, el objetivo sufre 3d4 daño mental. Los Golpes de la ilusión son no letales. Si el daño no se corresponde con la imagen del monstruo (por ejemplo, un dragón ilusorio Grande sólo inflige 5 daño) el DJ podría permitir al objetivo una prueba de Percepción inmediata para descreer el conjuro. Todas las resistencias y debilidades relevantes se aplican, si el objetivo cree que lo hacen, a juicio del DJ. Por ejemplo, si la ilusión empuña un martillo de guerra y ataca a una criatura resistente al daño contundente, dicha criatura sufriría menos daño mental. Sin embargo, el daño ilusorio no desactiva la regeneración ni desencadena otros efectos que requieren cierto tipo de daño. El DJ debería llevar la cuenta del daño ilusorio infligido por la ilusión.
Cualquier criatura que toque la imagen o utilice la acción de Buscar para examinarla podrá hacer un intento de descreer tu ilusión. Cuando una criatura descree la ilusión, se recupera de la mitad del daño sufrido a causa de ella (si lo hay) y ya no sufre más daño por ese motivo.";Potenciado (+1) El daño de los Golpes de la imagen se incrementa en 1d4, y el tamaño máximo de criatura que puedes crear se incrementa en 1 (hasta un máximo de Gargantuesco).
CRISIS OF FAITH;CRISIS DE FE;two-actions;CONJURO;3;CONCENTRAR MANIPULAR MENTAL;divina;;;;30 pies (9 m); 1 criatura;;Voluntad;;"Asaltas la fe del objetivo, llenándole de dudas y de inquietud mental que le infligen 6d6 daño mental o 6d8 daño mental si puede lanzar conjuros divinos. Los efectos vienen determinados por su salvación de Voluntad.
Éxito crítico El objetivo no resulta afectado Éxito El objetivo sufre mitad de daño.
Fallo El objetivo sufre daño completo; si puede lanzar conjuros divinos, queda anonadado 1 durante 1 asalto.
Fallo crítico El objetivo sufre doble daño, queda anonadado 1 durante 1 asalto y no puede lanzar conjuros divinos durante 1 asalto.
Para muchos dioses, lanzar este conjuro sobre un seguidor de tu propio dios sin causa significativa es un anatema.";Potenciado (+1) El daño se incrementa en 2d6 (o en 2d8 si el objetivo es un lanzador de conjuros divino).
FIERY BODY;CUERPO FLAMÍGERO;two-actions;CONJURO;7;CONCENTRAR FUEGO MANIPULAR POLIMORFIA;arcana, primigenia;;;;;;;;1 minuto;"Te conviertes en una llama viva, lo que te concede inmunidad al fuego, resistencia 10 al daño de precisión y debilidad 5 al frío y al agua. Cualquier criatura que toca o te daña con un ataque sin arma o con un arma cuerpo a cuerpo sin alcance sufre 3d6 daño por fuego.
Tus ataques sin arma infligen 1d4 daño adicional por fuego y tus conjuros de fuego infligen un dado de daño adicional por fuego (del mismo dado de daño que utiliza el conjuro). Puedes lanzar ignición como un conjuro innato; el lanzamiento se reduce de 2 acciones a 1.
En forma de fuego, tienes una Velocidad de vuelo de 40 pies (12 m) y no necesitas respirar.";Potenciado (9.º) Las criaturas que te tocan sufren 4d6 daño por fuego en lugar de 3d6, tus ataques sin armas infligen 2d4 daño adicional por fuego y tienes una Velocidad de vuelo de 60 pies (18 m).
PERFECTED BODY;CUERPO PERFECCIONADO;reaction;FOCO;4;POCO-COMÚN CLÉRIGO CONCENTRAR FOCO;;;;Fallas o fallas críticamente una tirada de salvación contra un efecto con el rasgo morfismo, polimorfía o veneno, o que te dejaría condenado, debilitado, indispuesto, petrificado o torpe.;;;;;;La perfección de tu cuerpo te mantiene un poco más sano que la mayoría. Si la tirada ha sido un fallo crítico sufres tan sólo un fallo y si la tirada ha sido un fallo, obtienes un éxito.;
RUNIC BODY;CUERPO RÚNICO;two-actions;CONJURO;1;CONCENTRAR MANIPULAR;arcana, divina, ocultista, primigenia;;;;toque; 1 criatura voluntaria.;;;1 minuto;Unas runas brillantes aparecen en el cuerpo del objetivo. Todos sus ataques sin armas se convierten en ataques sin armas +1 de golpe obteniendo un bonificador +1 por objeto a las tiradas de ataque e incrementando a 2 el número de dados de daño.;Potenciado (6.º) Los ataques sin armas son +2 de golpe mayor Potenciado (9.º) Los ataques sin armas son +3 de golpe superior.
SOUND BODY;CUERPO SANO;two-actions;CONJURO;2;CONCENTRAR CURACIÓN MANIPULAR VITALIDAD;divina, ocultista, primigenia;;;;toque; 1 criatura voluntaria.;;;;"Envías una oleada de energía curativa para restablecer el cuerpo del objetivo. Haces una prueba para contrarrestar (pág. 431) un efecto a tu elección que impone uno de los siguientes estados al objetivo: cegado, debilitado, deslumbrado, ensordecido o indispuesto. Si la prueba falla, pero habría tenido éxito si su rango de contrarrestar hubiera sido 2 inferior, en su lugar suprime el efecto hasta el inicio de tu siguiente turno. La duración del efecto no se gasta mientras está suprimido.
Este conjuro no puede contrarrestar ni suprimir maldiciones, enfermedades o estados que forman parte del estado normal del objetivo.";"Potenciado (4.º) Añade drenado y lentificado a la lista de estados.
Potenciado (8.º) Añade aturdido a la lista de estados."
SLITHER;CULEBREAR;three-actions;CONJURO;5;CONCENTRAR MANIPULAR SOMBRA;arcana, ocultista;;;;120 pies (36 m);; explosión de 20 pies (6 m);Reflejos; 1 minuto;"Una masa de serpientes de sombra se alza para capturar a las criaturas en el área. Cada criatura en el área cuando lanzas el conjuro sufre 3d6 daño perforante y 1d6 daño persistente por veneno debido a un mordisco de serpiente, quedando agarrada o neutralizada dependiendo de su salvación de Reflejos. Una criatura que acaba su turno en el área tiene que hacer esta Salvación incluso si está ya agarrada o neutralizada por las serpientes. Puedes Disipar el conjuro.
Éxito La criatura no resulta afectada Fallo La criatura sufre daño completo y es agarrada por una serpiente.
La CD de Huir de la serpiente es igual a tu CD de conjuros. Se puede atacar a una serpiente para liberar a la criatura. La CA de una serpiente es igual a tu CD de conjuros y es destruida si sufre 12 daño o más de una sola vez. Conforme dura el conjuro, van apareciendo nuevas serpientes, por lo que destruir algunas no evita que culebrear capture más criaturas.
Fallo crítico Igual que fallo, pero la criatura sufre doble daño y queda neutralizada por una serpiente.";Potenciado (+2) El daño persistente por veneno se incrementa en 1d6 y los PG de las serpientes se incrementan en 6.
HEAL;CURAR;one-action A three-actions;CONJURO;1;CURACIÓN MANIPULAR VITALIDAD;divina, primigenia;;;;variable; 1 criatura viva voluntaria o 1 cria-;;;;"tura muerta viviente Canalizas energía vital para curar a los vivos o dañar a los muertos vivientes. Si el objetivo es una criatura viva voluntaria, le restableces 1d8 Puntos de Golpe. Si el objetivo es una criatura muerta viviente, infliges a la misma dicha cantidad de daño por vitalidad con una salvación básica de Fortaleza. El número de acciones que gastas cuando Lanzas este conjuro determina sus objetivos, alcance, área y demás parámetros.
[one-action] El conjuro tiene un alcance de toque.
[two-actions] (concentrar) El conjuro tiene un alcance de 30 pies (9 m). Si estás curando a una criatura viva, incrementa en 8 los Puntos de Golpe restablecidos.
[three-actions] (concentrar) Dispersas energía vital en una emanación de 30 pies (9 m). Esta energía tiene como objetivo todas las criaturas vivas y muertas vivientes en el área.";Potenciado (+1) La cantidad de curación o de daño se incrementa en 1d8 y la curación adicional por la versión de 2 acciones se incrementa en 8.
HEAL ANIMAL;CURAR ANIMAL;one-action A two-actions;FOCO;1;POCO-COMÚN DRUIDA FOCO CURACIÓN MANIPULAR VITALIDAD;;;;;toque o 30 pies (9 m), ver texto; 1 animal;;;;"vivo voluntario Curas las heridas de un animal, restableciendo al objetivo 1d8 Puntos de Golpe. El número de acciones invertidas Lanzando este conjuro determina su efecto.
[one-action] El conjuro tiene un alcance de toque.
[two-actions] (concentrar) El conjuro tiene un alcance de 30 pies (9 m) y restablece 8 Puntos de Golpe adicionales al objetivo.";Potenciado (+1) La cantidad de curación se incrementa en 1d8 y la curación adicional por la versión de dos acciones se incrementa en 8.
HEAL COMPANION;CURAR COMPAÑERO;one-action O two-actions;FOCO;1;POCO-COMÚN CURACIÓN EXPLORADOR FOCO VITALIDAD;;;;;toque o 30 pies (9 m); tu compañero animal;;;;"Curas las heridas de tu compañero animal. Restableces 1d10 Puntos de Golpe a tu compañero animal. El número de acciones que inviertes Lanzando este conjuro determina el alcance y otros parámetros.
[one-action] (manipular) El conjuro tiene un alcance de toque.
[two-actions] (concentrar, manipular) El conjuro tiene un alcance de 30 pies (9 m) y restablece 8 Puntos de Golpe adicionales al objetivo.";Potenciado (+1) La cantidad de curación se incrementa en 1d10 y la curación adicional por la versión de dos acciones se incrementa en 8.
